filename,minX,maxX,minY,maxY,classname
1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208,380,388,265,273,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.110678335949765929063942738609,174,198,286,310,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028,160,174,303,317,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.112740418331256326754121315800,314,352,308,346,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.118140393257625250121502185026,174,188,389,403,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.129567032250534530765928856531,368,372,207,211,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,365,375,351,361,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.138904664700896606480369521124,412,418,118,124,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.140239815496047437552471323962,421,439,359,377,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.154837327827713479309898027966,152,158,157,163,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.160124400349792614505500125883,190,202,271,283,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.160586340600816116143631200450,140,152,297,309,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.162351539386551708034407968929,159,165,376,382,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.174907798609768549012640380786,171,185,175,189,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.176638348958425792989125209419,403,407,324,328,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.178391668569567816549737454720,372,378,224,230,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.188265424231150847356515802868,175,185,283,293,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.194246472548954252250399902051,208,216,264,272,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.200841000324240313648595016964,121,131,326,336,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.205523326998654833765855998037,389,395,353,359,nodule
1.3.6.1.4.1.14519.5.2.1.6279.6001.219428004988664846407984058588,382,396,325,339,nodule
